Location,lat,lon,Notes
"Staten Island, NY, USA",40.5834557,-74.1496048,NA
"Staten Island, NY, USA",40.5834557,-74.1496048,NA
"Red Bank, NJ, USA",40.3470543,-74.0643065,Published
"Red Bank, NJ, USA",40.3470543,-74.0643065,NA
"Barrington, RI, USA",41.7407661,-71.3084633,Published
"Poulsbo, WA, USA",47.7391366,-122.63928,NA
"Chapel Hill, NC, USA",35.9131542,-79.05578,Published
"Normal, IL, USA",40.5092961,-88.9843937,Published
"Paradise, CA, USA",39.7596061,-121.6219177,NA
"Clayton, GA, USA",33.5204959,-84.3591713,Published
"Birmingham, AL, USA",33.5206824,-86.8024326,Published
"Portland, ME, USA",43.6573605,-70.2586618,NA
"Olathe, KS, USA",38.8838856,-94.81887,NA
"Los Angeles, CA, USA",34.0536909,-118.242766,NA
"Los Angeles, CA, USA",34.0536909,-118.242766,NA
"Los Angeles, CA, USA",34.0536909,-118.242766,NA
"Los Angeles, CA, USA",34.0536909,-118.242766,NA
"Los Angeles, CA, USA",34.0536909,-118.242766,NA
"Los Angeles, CA, USA",34.0536909,-118.242766,NA
"Los Angeles, CA, USA",34.0536909,-118.242766,NA
"Memphis, TN, USA",35.1460249,-90.0517638,NA
"Nevada City, CA, USA",39.2625993,-121.0187304,NA
"Brookeville, MD, USA",39.1803067,-77.0584474,NA
"Brookeville, MD, USA",39.1803067,-77.0584474,NA
"Sugar Land, TX, USA",29.6196787,-95.6349463,NA
"Ann Arbor MI, USA",42.2919479,-83.6763474,NA
"Naperville, IL, USA",41.7728699,-88.1479278,NA
"Loveland, OH, USA",39.2689476,-84.263826,NA
"Des Moines, IA, USA",41.5868654,-93.6249494,NA
"Irvine, CA, USA",33.6856969,-117.825981,NA
"Irvine, CA, USA",33.6856969,-117.825981,NA
"Irvine, CA, USA",33.6856969,-117.825981,NA
"Irvine, CA, USA",33.6856969,-117.825981,NA
"Rochester, NY, USA",43.157285,-77.615214,NA
"Rochester, NY, USA",43.157285,-77.615214,NA
"Highlands, NJ, USA",40.40372,-73.991527,NA
"Charlottesville, VA, USA",38.029306,-78.4766781,NA
"Charlottesville, VA, USA",38.029306,-78.4766781,NA
"Parker, CO, USA",39.5184514,-104.7612638,NA
"Kennett Square, PA, USA",39.8467414,-75.7116997,Published
"Ithaca, NY, USA",42.4374175,-76.5483724,NA
"Ithaca, NY, USA",42.4374175,-76.5483724,NA
"Ithaca, NY, USA",42.4374175,-76.5483724,NA
"Folsom, CA, USA",38.6779591,-121.176058,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Denver, CO, USA",39.7392364,-104.984862,Published
"South Bend, IN, USA",41.6833813,-86.2500066,NA
"South Bend, IN, USA",41.6833813,-86.2500066,NA
"South Bend, IN, USA",41.6833813,-86.2500066,Published
"South Bend, IN, USA",41.6833813,-86.2500066,Published
